,cooler_id,door_opens,open_time,compressor,power,on_time,min_voltage,max_voltage,temperature,calday,warning,year,month,Target,Motive
0,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,34.0,1.0,46.102,2.8333,24.0,110.0,130.0,4.8163,2024-03-24,1,2024,3,0,temperature
1,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,27.0,13.0,40.4286,0.0,24.0,110.0,130.0,5.4878,2024-03-25,1,2024,3,0,temperature
2,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,27.0,1.0,31.3061,1.0833,24.0,108.0,130.0,5.0571,2024-03-26,1,2024,3,0,temperature
3,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,51.0,37.0,32.02,3.1667,24.0,110.0,124.0,5.03,2024-03-27,1,2024,3,0,temperature
4,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,51.0,4.0,28.6,3.25,24.0,106.0,130.0,3.894,2024-03-28,1,2024,3,0,temperature
5,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,58.0,4.0,35.8163,3.1667,24.0,108.0,124.0,4.6918,2024-03-29,1,2024,3,0,temperature
6,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,27.0,1.0,32.1,0.0,24.0,108.0,128.0,5.13,2024-03-30,1,2024,3,0,temperature
7,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,39.0,0.0,32.7083,0.0,24.0,110.0,122.0,4.6417,2024-03-31,1,2024,3,0,temperature
8,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,232.0,71.0,65.5686,1.8333,24.0,110.0,134.0,9.3059,2024-04-01,1,2024,4,0,temperature
9,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,202.0,22.0,95.3469,0.0,24.0,110.0,134.0,8.9408,2024-04-02,1,2024,4,0,temperature
10,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,192.0,52.0,82.0,0.0,24.0,110.0,128.0,11.1863,2024-04-03,1,2024,4,1,temperature
11,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,201.0,43.0,93.2449,0.0,24.0,110.0,130.0,11.8612,2024-04-04,1,2024,4,1,temperature
12,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,242.0,73.0,91.3922,0.0,24.0,102.0,132.0,13.2941,2024-04-05,1,2024,4,1,temperature
13,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,224.0,82.0,86.7255,2.0833,24.0,110.0,134.0,11.9588,2024-04-06,1,2024,4,1,temperature
14,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,197.0,116.0,88.5882,0.0,24.0,106.0,134.0,11.402,2024-04-07,1,2024,4,1,temperature
15,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,98.0,40.0,87.5102,0.0,24.0,108.0,120.0,9.6531,2024-04-08,1,2024,4,1,temperature
16,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,230.0,37.0,89.8627,1.8333,24.0,110.0,126.0,9.8412,2024-04-09,1,2024,4,1,temperature
17,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,185.0,27.0,93.98,2.5833,24.0,110.0,130.0,10.422,2024-04-10,1,2024,4,1,temperature
18,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,199.0,76.0,93.5,2.25,24.0,108.0,126.0,11.452,2024-04-11,1,2024,4,1,temperature
19,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,221.0,74.0,91.5102,0.6667,24.0,110.0,124.0,13.0531,2024-04-12,1,2024,4,1,temperature
20,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,172.0,65.0,82.9815,4.0,24.0,110.0,128.0,14.1259,2024-04-13,1,2024,4,1,temperature
21,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,150.0,60.0,86.566,2.25,24.0,106.0,128.0,14.3547,2024-04-14,1,2024,4,1,temperature
22,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,171.0,98.0,83.6296,2.9167,24.0,110.0,128.0,14.3741,2024-04-15,1,2024,4,1,temperature
23,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,174.0,42.0,85.7308,3.9167,24.0,108.0,128.0,12.9019,2024-04-16,1,2024,4,1,temperature
24,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,178.0,32.0,87.7778,2.1667,24.0,106.0,126.0,12.8796,2024-04-17,1,2024,4,1,temperature
25,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,132.0,16.0,91.8039,2.5833,24.0,110.0,130.0,12.8157,2024-04-18,1,2024,4,1,temperature
26,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,177.0,45.0,92.1458,0.0,24.0,108.0,120.0,14.2188,2024-04-19,1,2024,4,1,temperature
27,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,172.0,15.0,95.6042,0.0,24.0,110.0,120.0,12.3188,2024-04-20,1,2024,4,1,temperature
28,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,138.0,54.0,87.0392,1.0,24.0,108.0,126.0,14.251,2024-04-21,1,2024,4,1,temperature
29,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,180.0,61.0,92.44,1.0833,24.0,106.0,126.0,14.89,2024-04-22,1,2024,4,1,temperature
30,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,,0.0,,,24.0,,,,2024-05-25,1,2024,5,1,temperature
31,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,,0.0,,,24.0,,,,2024-06-21,1,2024,6,0,temperature
32,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,,0.0,,,24.0,,,,2024-09-24,1,2024,9,0,temperature
33,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,,0.0,,,24.0,,,,2024-09-24,1,2024,9,0,temperature
34,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,36.0,3.0,48.94,0.0,24.0,108.0,130.0,4.57,2024-11-11,1,2024,11,0,temperature
35,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,34.0,7.0,42.6735,0.0,24.0,104.0,134.0,4.9224,2024-11-12,1,2024,11,0,temperature
36,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,43.0,1.0,42.2917,0.0,24.0,104.0,134.0,4.7333,2024-11-13,1,2024,11,0,temperature
37,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,33.0,3.0,44.3542,0.0,24.0,108.0,132.0,4.7979,2024-11-14,1,2024,11,0,temperature
38,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,29.0,2.0,49.9583,0.0,24.0,106.0,132.0,4.4521,2024-11-15,1,2024,11,0,temperature
39,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,32.0,1.0,49.3333,0.0,24.0,108.0,132.0,4.5437,2024-11-16,1,2024,11,0,temperature
40,000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,8.0,2.0,34.0208,0.0,24.0,110.0,134.0,6.05,2024-11-17,1,2024,11,0,temperature
41,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,,0.0,,,24.0,,,,2023-11-18,1,2023,11,0,temperature
42,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,1.0,0.0,20.3878,33.1667,24.0,116.0,128.0,5.4347,2023-12-04,1,2023,12,0,temperature
43,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,3.0,0.0,27.5208,40.5,24.0,114.0,128.0,5.125,2023-12-05,1,2023,12,0,temperature
44,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,1.0,0.0,22.4444,25.9167,18.0,114.0,128.0,5.2861,2023-12-06,1,2023,12,0,temperature
45,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,3.0,0.0,24.375,37.1667,24.0,114.0,128.0,4.7,2023-12-06,1,2023,12,0,temperature
46,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,1.0,0.0,21.0,32.8333,24.0,114.0,128.0,5.4208,2023-12-07,1,2023,12,0,temperature
47,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,,0.0,,,24.0,,,,2023-12-17,1,2023,12,0,temperature
48,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,9.0,2.0,23.0417,36.0,24.0,114.0,128.0,3.8354,2024-01-08,1,2024,1,0,temperature
49,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,7.0,0.0,31.2,34.0833,17.5,118.0,128.0,4.5029,2024-01-09,1,2024,1,0,temperature
50,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,15.0,0.0,41.3125,65.25,24.0,110.0,124.0,4.6479,2024-05-13,1,2024,5,0,temperature
51,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,20.0,0.0,41.0833,65.0,24.0,110.0,126.0,4.3479,2024-05-14,1,2024,5,0,temperature
52,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,13.0,1.0,45.1944,52.5833,18.0,108.0,124.0,5.6472,2024-05-15,1,2024,5,0,temperature
53,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,49.0,4.0,69.2083,102.0833,24.0,108.0,124.0,4.75,2024-05-24,1,2024,5,0,temperature
54,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,,0.0,,,24.0,,,,2024-06-19,1,2024,6,0,temperature
55,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,,0.0,,,24.0,,,,2024-08-26,1,2024,8,0,temperature
56,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,7.0,0.0,31.7083,48.9167,24.0,110.0,126.0,4.1083,2024-09-09,1,2024,9,0,temperature
57,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,8.0,0.0,35.3333,53.1667,24.0,108.0,126.0,4.1979,2024-09-10,1,2024,9,0,temperature
58,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,8.0,0.0,36.5833,54.5,24.0,112.0,124.0,5.6292,2024-09-11,1,2024,9,0,temperature
59,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,47.0,4.0,69.9375,97.0833,24.0,30.0,124.0,5.1938,2024-09-20,1,2024,9,0,temperature
60,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,49.0,1.0,57.0833,80.3333,24.0,112.0,124.0,3.4521,2024-09-21,1,2024,9,0,temperature
61,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,14.0,0.0,38.8125,57.3333,24.0,114.0,124.0,4.4563,2024-09-22,1,2024,9,0,temperature
62,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,4.0,0.0,36.9583,55.5,24.0,112.0,124.0,4.8104,2024-09-23,1,2024,9,0,temperature
63,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,41.0,3.0,55.8333,80.6667,24.0,112.0,126.0,4.9312,2024-09-24,1,2024,9,0,temperature
64,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,48.0,3.0,63.4898,91.6667,24.0,112.0,126.0,5.0122,2024-09-25,1,2024,9,0,temperature
65,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,15.0,0.0,37.0417,56.6667,24.0,112.0,126.0,3.7438,2024-09-26,1,2024,9,0,temperature
66,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,32.0,0.0,45.2708,65.8333,24.0,112.0,126.0,3.7083,2024-09-27,1,2024,9,0,temperature
67,09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,40.0,1.0,44.7292,64.8333,24.0,116.0,128.0,3.9271,2024-09-28,1,2024,9,0,temperature
